Health Facility Code,Health Facility Code Short,Facility Name,Facility Major Type,Health Facility Type,class,Street Name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Service Capability,Bed Capacity,Licensing Status,License Validity Date
DOH000000000045032,45032,V & G DISTRICT HEALTH CENTER AND BIRTHING FACILITY,Health Facility,Birthing Home,Government,ST. PAULS ST.,REGION VIII (EASTERN VISAYAS),0800000000,LEYTE,0831600000,CITY OF TACLOBAN (CAPITAL),0831600000,BARANGAY 109,0831600134,6500,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000002974,2974,ARAKAN VALLEY DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION XII (SOCCSKSARGEN),1200000000,COTABATO,1204700000,ANTIPAS,1204715000,MAGSAYSAY,1204715006,9414,+63 645230378,NA,NA,avdh_antipas@yahoo.com,NA,18,Licensing Status:With License,NA
DOH000000000045911,45911,ANINI-Y RHU,Health Facility,Birthing Home,Government,NA,REGION VI (WESTERN VISAYAS),0600000000,ANTIQUE,0600600000,ANINI-Y,0600601000,POBLACION,0600601017,5717,NA,NA,NA,aniniyrhu@gmail.com,NA,3,Licensing Status:With License,12/31/2023
DOH000000000005034,5034,WESTERN VISAYAS MEDICAL CENTER,Health Facility,Hospital,Government,MANDURRIAO,REGION VI (WESTERN VISAYAS),0600000000,ILOILO,0631000000,CITY OF ILOILO (CAPITAL),0631000000,ABETO MIRASOL TAFT SOUTH,0631000178,5000,+63 333211797,NA,NA,NA,Level 3,400,Licensing Status:With License,NA
DOH000000000033576,33576,MULANAY RURAL HEALTH UNIT MATERNAL AND CHILD CLINIC,Health Facility,Birthing Home,Government,RIZAL STREET,REGION IV-A (CALABARZON),0400000000,QUEZON,0405600000,MULANAY,0405628000,BARANGAY 1 (POB.),0405628006,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000032339,32339,NAMPICUAN RURAL HEALTH UNIT AND BIRTHING STATION,Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,NAMPICUAN,0304918000,NORTH POBLACION,0304918016,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000000483,483,DON MANUEL LOPEZ MEMORIAL DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION IV-A (CALABARZON),0400000000,BATANGAS,0401000000,BALAYAN,0401003000,GUMAMELA,0401003029,4213,+63 439800541,NA,NA,donmanuellopezhospital@yahoo.com,Level 1,50,Licensing Status:With License,NA
DOH000000000003467,3467,CAMP GENERAL EMILIO AGUINALDO STATION HOSPITAL,Health Facility,Infirmary,Government,MURPHY,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,CAMP AGUINALDO,1381300019,NA,+63 029116001,NA,NA,cgeashfamily@gmail.com,NA,25,Licensing Status:With License,NA
DOH000000000032763,32763,CUGMAN HEALTH CENTER AND LYING IN CLINIC,Health Facility,Birthing Home,Government,NA,REGION X (NORTHERN MINDANAO),1000000000,MISAMIS ORIENTAL,1030500000,CITY OF CAGAYAN DE ORO (CAPITAL),1030500000,CUGMAN,1030500046,NA,+63 888573184,NA,NA,CDOCITYHEALTHOFFICE@GMAIL.COM,NA,0,Licensing Status:With License,NA
DOH000000000029798,29798,TALACOGON DISTRICT HOSPITAL,Health Facility,Hospital,Government,PUROK BAYABAS,REGION XIII (CARAGA),1600000000,AGUSAN DEL SUR,1600300000,TALACOGON,1600311000,SAN ISIDRO (POB.),1600311010,8510,NA,NA,NA,tdh_talacogonads@yahoo.com,Level 1,30,Licensing Status:With License,NA
DOH000000000045768,45768,ROXAS CITY HEALTH BIRTHING FACILITY,Health Facility,Birthing Home,Government,"BANGBANG ST.,",REGION VI (WESTERN VISAYAS),0600000000,CAPIZ,0601900000,CITY OF ROXAS (CAPITAL),0601914000,INZO ARNALDO VILLAGE,0601914030,5800,036-620-5103,NA,NA,cahilog_lory@yahoo.com,NA,3,Licensing Status:With License,01/01/2022
DOH000000000033258,33258,ROSARIO RURAL HEALTH UNIT I BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IV-A (CALABARZON),0400000000,BATANGAS,0401000000,ROSARIO,0401021000,BARANGAY B (POB.),0401021032,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
